epoch;loss
0;1.2297190427780151
1;0.6108877658843994
2;0.6142143607139587
3;0.607567310333252
4;0.6094513535499573
5;0.6127870678901672
6;0.6088401675224304
7;0.6088750958442688
8;0.6176475286483765
9;0.6065964102745056
0;0.6624972820281982
1;0.6091736555099487
2;0.6091926097869873
3;0.6170040965080261
4;0.6082119941711426
5;0.6145363450050354
6;0.6245803833007812
7;0.6076991558074951
8;0.6095952391624451
9;0.6066049337387085
0;0.9426789879798889
1;0.615567684173584
2;0.6200760006904602
3;0.6248294711112976
4;0.6171344518661499
5;0.6155271530151367
6;0.6168338656425476
7;0.614509105682373
8;0.6145616173744202
9;0.6256796717643738
0;0.8031026721000671
1;0.6358192563056946
2;0.6356478929519653
3;0.6430116295814514
4;0.6376141905784607
5;0.6397494077682495
6;0.6501033902168274
7;0.643012523651123
8;0.6380106210708618
9;0.6373642683029175
0;0.5819463729858398
1;0.5824624300003052
2;0.5800658464431763
3;0.578321099281311
4;0.582798957824707
5;0.5817157626152039
6;0.5818936228752136
7;0.5849027037620544
8;0.5813610553741455
9;0.5822940468788147
0;0.6470608115196228
1;0.659457266330719
2;0.6538148522377014
3;0.6502395272254944
4;0.6547773480415344
5;0.6509222984313965
6;0.6678289771080017
7;0.6572508811950684
8;0.654796838760376
9;0.6508533358573914
0;0.6530877351760864
1;0.6439369320869446
2;0.660724937915802
3;0.6612145304679871
4;0.6570661664009094
5;0.6506977677345276
6;0.6569507718086243
7;0.6626689434051514
8;0.6589276790618896
9;0.6572012901306152
0;0.6026701927185059
1;0.605118453502655
2;0.5968774557113647
3;0.6012312173843384
4;0.5978705883026123
5;0.599799394607544
6;0.6011765599250793
7;0.6066488027572632
8;0.6020169258117676
9;0.6050840020179749
0;0.606502890586853
1;0.601369321346283
2;0.5953994989395142
3;0.6034632325172424
4;0.6017245054244995
5;0.6030830144882202
6;0.6048445701599121
7;0.6044889688491821
8;0.599138617515564
9;0.6070390939712524
0;0.5878487229347229
1;0.5891864895820618
2;0.5839363932609558
3;0.5848173499107361
4;0.5869630575180054
5;0.5824887752532959
6;0.5851482152938843
7;0.5876467227935791
8;0.5863696932792664
9;0.5858484506607056
0;0.6486070156097412
1;0.6640778183937073
2;0.6544661521911621
3;0.6556450128555298
4;0.6566950678825378
5;0.6663440465927124
6;0.6584020256996155
7;0.6662709712982178
8;0.6539624333381653
9;0.6689910292625427
0;0.6529400944709778
1;0.6515731811523438
2;0.6290403604507446
3;0.6326516270637512
4;0.6468974947929382
5;0.6332404017448425
6;0.644677996635437
7;0.6413026452064514
8;0.6309677362442017
9;0.6402386426925659
0;0.617540180683136
1;0.6075206398963928
2;0.6130627989768982
3;0.6059698462486267
4;0.6078488826751709
5;0.6105658411979675
6;0.6060337424278259
7;0.6205926537513733
8;0.612691342830658
9;0.6101442575454712
0;0.623117983341217
1;0.6293537020683289
2;0.6300584077835083
3;0.6232720017433167
4;0.6273123025894165
5;0.6369181275367737
6;0.6292093396186829
7;0.6293059587478638
8;0.6231310963630676
9;0.6254588961601257
0;0.5783848762512207
1;0.5755945444107056
2;0.584299623966217
3;0.5847477912902832
4;0.5805994868278503
5;0.578092098236084
6;0.5833709239959717
7;0.5815635919570923
8;0.5836213231086731
9;0.5774884223937988
0;0.5685197710990906
1;0.57118159532547
2;0.5691829323768616
3;0.569552481174469
4;0.5703778266906738
5;0.570186972618103
6;0.568457841873169
7;0.5704084038734436
8;0.5695013999938965
9;0.5692892670631409
0;0.5683706402778625
1;0.5684865713119507
2;0.5713174939155579
3;0.568583071231842
4;0.5677533745765686
5;0.5679917335510254
6;0.5677445530891418
7;0.5673482418060303
8;0.5679667592048645
9;0.5703036785125732
0;0.5984676480293274
1;0.5952435731887817
2;0.5995893478393555
3;0.5958366990089417
4;0.592061460018158
5;0.5927284955978394
6;0.5969439744949341
7;0.599952220916748
8;0.5962440967559814
9;0.599340558052063
0;0.5804598927497864
1;0.5797936320304871
